#Batch costTraining precTraining
1 0.8990242 0.058333334
2 0.883997 0.13333334
3 0.8447567 0.21111111
4 0.8201839 0.24583334
5 0.7712116 0.28166667
6 0.7139705 0.31111112
7 0.6699565 0.3392857
8 0.57971513 0.37291667
9 0.61603147 0.39444444
10 0.53290623 0.41833332
11 0.51464576 0.43636364
12 0.4200684 0.4611111
13 0.4232542 0.4801282
14 0.3534087 0.49940476
15 0.4275473 0.51222223
16 0.35436878 0.52760416
17 0.30885875 0.54313725
18 0.3836431 0.55277777
19 0.32733104 0.56403506
20 0.31915066 0.575
21 0.395971 0.5829365
22 0.29963574 0.5924242
23 0.31813726 0.6003623
24 0.29598114 0.6107639
25 0.30589768 0.618
26 0.30328897 0.6246795
27 0.33552763 0.62901235
28 0.25492838 0.63660717
29 0.2980737 0.641954
30 0.26274836 0.6486111
31 0.23278944 0.65456986
32 0.2012651 0.6609375
33 0.27400118 0.665404
34 0.24040572 0.67107844
35 0.20744342 0.6766667
36 0.20141937 0.68194443
37 0.22478145 0.6864865
38 0.21647967 0.69100875
39 0.21202488 0.69508547
40 0.19793575 0.69875
41 0.2650274 0.7020325
42 0.1993982 0.70615077
43 0.22641045 0.7087209
44 0.19352302 0.7126894
45 0.14573525 0.71666664
46 0.26801306 0.7188406
47 0.20067753 0.72216314
48 0.19630894 0.7251736
49 0.14626668 0.7285714
50 0.13953876 0.73216665
51 0.19023281 0.7349673
52 0.19331564 0.7375
53 0.14955044 0.740566
54 0.17352289 0.74367285
55 0.1531434 0.74651515
56 0.23065281 0.7482143
57 0.2049729 0.7504386
58 0.18537289 0.75229883
59 0.15092324 0.75508475
60 0.19587019 0.7569444
61 0.19971766 0.75860655
62 0.1676498 0.7607527
63 0.18287149 0.76256615
64 0.1535882 0.76497394
65 0.17586546 0.76679486
66 0.21243382 0.7681818
67 0.18312854 0.7696518
68 0.13456082 0.77181375
69 0.19613603 0.7733092
70 0.11686543 0.77559525
71 0.14155312 0.77758217
72 0.06606986 0.78020835
73 0.17694372 0.781621
74 0.11388529 0.7836712
75 0.13519487 0.78544444
76 0.13082227 0.7870614
77 0.16437642 0.78852814
78 0.120411225 0.7903846
79 0.14951871 0.7917721
80 0.16374111 0.793125
81 0.110581905 0.7946502
82 0.0998761 0.7963415
83 0.06500539 0.7982932
84 0.1274461 0.7998016
85 0.17752202 0.8006863
86 0.0994349 0.8021318
87 0.117718056 0.8033525
88 0.09778606 0.80501896
89 0.18165486 0.8058989
90 0.17228399 0.8066667
91 0.1297842 0.8076923
92 0.11875593 0.8088768
93 0.10799909 0.81030464
94 0.16825622 0.8111702
95 0.12031926 0.81245613
96 0.08429491 0.8138889
97 0.1281653 0.81486255
98 0.10661539 0.81607145
99 0.1500188 0.81683505
100 0.11395429 0.818
101 0.110031806 0.8189769
102 0.109913 0.82009804
103 0.10923126 0.8211165
104 0.14639492 0.82203525
105 0.0967426 0.8231746
