#Batch costTraining precTraining
1 10.126695 0.108333334
2 4.040333 0.12916666
3 3.541092 0.14722222
4 3.5937433 0.17708333
5 3.6358194 0.18666667
6 3.6606486 0.18611111
7 3.6470168 0.19166666
8 3.6634917 0.184375
9 3.6117418 0.18518518
10 3.5327954 0.18333334
11 3.5462391 0.17727272
12 3.4656332 0.17916666
13 3.4252486 0.18205129
14 3.413959 0.18809524
15 3.4025865 0.19888888
16 3.3189657 0.20833333
17 3.3541017 0.21470588
18 3.3717117 0.23101851
19 3.2048366 0.25219297
20 3.298793 0.26083332
21 3.210246 0.26944444
22 3.141697 0.27575758
23 3.1908545 0.2826087
24 3.138794 0.29027778
25 3.0629716 0.3
26 2.9599044 0.30961537
27 2.8645744 0.32160494
28 2.9914577 0.3294643
29 2.9485412 0.33649427
30 2.8380177 0.34333333
31 2.7310717 0.3518817
32 2.7224872 0.3591146
33 2.7575479 0.36237374
34 2.859816 0.36593136
35 2.4839928 0.3752381
36 2.5887897 0.38472223
37 2.4865725 0.393018
38 2.4452727 0.3995614
39 2.311609 0.40747863
40 2.4344635 0.41291666
41 2.4317436 0.41788617
42 2.3220167 0.42539683
43 2.1946068 0.43294573
44 2.1132407 0.4401515
45 2.2099123 0.4461111
46 2.1708453 0.45144928
47 1.9765426 0.45780143
48 2.3303347 0.45902777
49 2.109677 0.46309525
50 1.923271 0.46866667
51 2.0391898 0.47401962
52 1.9111446 0.48028848
53 1.9287357 0.48632076
54 1.7890946 0.49274692
55 1.7378138 0.4989394
56 1.8099883 0.50386906
57 2.069397 0.5065789
58 1.8143957 0.51020116
59 1.7127446 0.51497173
60 1.6262951 0.51916665
61 1.6116377 0.5237705
62 1.5085245 0.528629
63 1.6382027 0.5326719
64 1.5084587 0.5372396
65 1.5743903 0.54102564
66 1.5605881 0.5445707
67 1.6706821 0.5481343
68 1.4755905 0.5518382
69 1.6374394 0.55495167
70 1.698835 0.55857146
71 1.5400509 0.5618545
72 1.3780607 0.5662037
73 1.2773417 0.5707763
74 1.304717 0.5747748
75 1.3663424 0.5783333
76 1.1922798 0.5825658
77 1.1676099 0.5861472
78 1.1909013 0.5897436
79 1.2268524 0.59314346
80 1.408186 0.59625
81 1.2801938 0.59917694
82 1.230056 0.6022358
83 1.1302536 0.60542166
84 1.0500739 0.6088294
85 1.0651311 0.61215687
86 1.1505164 0.6148256
87 1.161902 0.6177203
88 1.238427 0.62007576
89 1.2007776 0.6223783
90 1.2507396 0.6246296
91 1.0256927 0.6274725
92 1.157689 0.6299819
93 1.0137458 0.6327957
94 1.175156 0.6346631
95 0.98494524 0.63736844
96 1.1344025 0.6397569
97 1.034563 0.64226806
98 1.0012032 0.64464283
99 1.154981 0.64646465
100 0.99370944 0.64883333
101 1.0731648 0.6508251
102 0.9359202 0.6531046
103 1.1283857 0.65485436
104 1.0632404 0.6568109
105 1.095004 0.6585714
106 1.083928 0.6603774
107 0.8571103 0.6626947
108 1.2220798 0.6640432
109 1.2656082 0.66536695
110 0.9116487 0.6675758
111 1.0104071 0.6692943
112 0.9594898 0.67120534
113 0.8914726 0.6731563
114 0.92790866 0.6748538
115 0.8274787 0.6768116
116 1.1283399 0.67801726
117 0.9208698 0.6796296
118 1.0204593 0.6810028
119 0.9083512 0.68263304
120 1.0294312 0.68409723
121 0.9963444 0.6854683
122 0.7951067 0.68702185
123 1.0262448 0.68834686
124 0.91523594 0.6899866
125 0.95363235 0.6915333
126 1.0061755 0.6927249
127 0.883126 0.6939632
128 1.0034558 0.69518226
129 0.8359118 0.69689924
130 0.8178989 0.69846153
131 0.6930115 0.7000636
132 1.0482744 0.7010732
133 0.9006762 0.70256895
134 0.83596206 0.7041045
135 0.69335455 0.70580244
136 0.90043056 0.7069853
137 0.77753043 0.70839417
138 0.8569721 0.7097222
139 0.8775734 0.7109113
140 0.74720013 0.7125
141 0.7834582 0.7137707
142 1.1511182 0.7144953
143 0.8902414 0.71573424
144 0.7343043 0.71712965
145 0.91818404 0.7182184
146 0.73239696 0.71946347
147 0.92528117 0.7202948
148 0.82399815 0.7213401
149 0.8290551 0.72237134
150 0.98632354 0.72316664
151 0.8863503 0.724117
152 0.98139274 0.72489035
153 0.84937066 0.72587144
154 0.65916836 0.72700214
155 1.0518773 0.7276882
156 0.84031 0.7286859
157 0.8758584 0.7295647
158 0.62569326 0.73085445
159 0.7475865 0.7321279
160 0.76374567 0.73317707
161 0.81970626 0.73405796
162 0.81627345 0.734928
163 0.8014718 0.7357362
164 0.9535233 0.7363821
165 0.64336944 0.7377273
166 0.71307254 0.73880523
167 0.6741702 0.73987025
168 0.6669989 0.7410218
169 0.8304328 0.7418146
170 0.96699995 0.7425
171 0.7385315 0.7434698
172 0.9086057 0.74418604
173 0.8750018 0.74484587
174 0.73009455 0.74568963
175 0.65993893 0.7465238
176 0.9715244 0.74715906
177 0.8737612 0.74788135
178 0.69694453 0.7488296
179 0.80537784 0.749581
180 0.787734 0.75050926
181 0.8091229 0.7513352
182 0.66897935 0.752152
183 0.71715516 0.75291437
184 0.77981895 0.7536232
185 0.61030793 0.7545045
186 0.72611755 0.75524193
187 0.59446704 0.7562389
188 0.8112288 0.7569149
189 0.5088695 0.75789243
190 0.6499979 0.75881577
